mana_value,on_color_pips,off_color_pips,on_color_land_count,off_color_land_count,iterations,average_cast_turn,average_mulligan_count
1,1,0,1,16,100000,6.81323,1.5479
2,1,0,1,16,100000,7.3576,1.5548
2,1,1,1,16,100000,7.33494,1.55309
3,1,0,1,16,100000,7.92935,1.55148
3,1,1,1,16,100000,7.91641,1.5504
3,1,2,1,16,100000,7.95081,1.55315
4,1,0,1,16,100000,8.67004,1.55394
4,1,1,1,16,100000,8.65016,1.55272
4,1,2,1,16,100000,8.66918,1.55907
4,1,3,1,16,100000,8.66361,1.55255
5,1,0,1,16,100000,9.59785,1.54943
5,1,1,1,16,100000,9.60827,1.55115
5,1,2,1,16,100000,9.61738,1.55244
5,1,3,1,16,100000,9.60603,1.54937
5,1,4,1,16,100000,9.59049,1.55042
6,1,0,1,16,100000,10.78082,1.55765
6,1,1,1,16,100000,10.78392,1.5536
6,1,2,1,16,100000,10.76105,1.55008
6,1,3,1,16,100000,10.75283,1.55125
6,1,4,1,16,100000,10.77546,1.55367
6,1,5,1,16,100000,10.7759,1.55479
7,1,0,1,16,100000,12.12352,1.55276
7,1,1,1,16,100000,12.12659,1.55325
7,1,2,1,16,100000,12.14755,1.55317
7,1,3,1,16,100000,12.12375,1.55635
7,1,4,1,16,100000,12.11867,1.55193
7,1,5,1,16,100000,12.12585,1.55111
7,1,6,1,16,100000,12.12669,1.55264
1,1,0,2,15,100000,3.04167,1.1959
2,1,0,2,15,100000,3.82185,1.19926
2,1,1,2,15,100000,3.7875,1.19004
2,2,0,2,15,100000,14.61456,1.1945
3,1,0,2,15,100000,4.68804,1.19365
3,1,1,2,15,100000,4.69768,1.20073
3,1,2,2,15,100000,4.75011,1.19513
3,2,0,2,15,100000,14.73765,1.19912
3,2,1,2,15,100000,14.73216,1.19035
4,1,0,2,15,100000,5.81042,1.19378
4,1,1,2,15,100000,5.80563,1.19488
4,1,2,2,15,100000,5.80519,1.19667
4,1,3,2,15,100000,5.95214,1.1928
4,2,0,2,15,100000,14.89112,1.19494
4,2,1,2,15,100000,14.86683,1.19874
4,2,2,2,15,100000,14.90739,1.19326
5,1,0,2,15,100000,7.13783,1.19974
5,1,1,2,15,100000,7.13585,1.1918
5,1,2,2,15,100000,7.13501,1.1945
5,1,3,2,15,100000,7.12932,1.19561
5,1,4,2,15,100000,7.44762,1.19419
5,2,0,2,15,100000,15.1553,1.19233
5,2,1,2,15,100000,15.11577,1.19929
5,2,2,2,15,100000,15.11769,1.1937
5,2,3,2,15,100000,15.10142,1.19415
6,1,0,2,15,100000,8.7276,1.19856
6,1,1,2,15,100000,8.7254,1.20049
6,1,2,2,15,100000,8.71419,1.19964
6,1,3,2,15,100000,8.71587,1.19503
6,1,4,2,15,100000,8.72176,1.19301
6,1,5,2,15,100000,9.22652,1.19596
6,2,0,2,15,100000,15.48784,1.19962
6,2,1,2,15,100000,15.50578,1.19597
6,2,2,2,15,100000,15.57789,1.19777
6,2,3,2,15,100000,15.52067,1.19461
6,2,4,2,15,100000,15.50866,1.19573
7,1,0,2,15,100000,10.52659,1.19502
7,1,1,2,15,100000,10.51555,1.19513
7,1,2,2,15,100000,10.50415,1.19493
7,1,3,2,15,100000,10.51821,1.19832
7,1,4,2,15,100000,10.52094,1.19436
7,1,5,2,15,100000,10.50809,1.19948
7,1,6,2,15,100000,11.24053,1.19363
7,2,0,2,15,100000,16.08075,1.19559
7,2,1,2,15,100000,16.03576,1.20015
7,2,2,2,15,100000,16.06611,1.19161
7,2,3,2,15,100000,16.0912,1.19184
7,2,4,2,15,100000,16.06267,1.19898
7,2,5,2,15,100000,16.04095,1.19902
1,1,0,3,14,100000,1.76839,0.9199
2,1,0,3,14,100000,2.68722,0.92068
2,1,1,3,14,100000,2.72107,0.92189
2,2,0,3,14,100000,9.7791,0.92239
3,1,0,3,14,100000,3.73657,0.92296
3,1,1,3,14,100000,3.73156,0.91972
3,1,2,3,14,100000,3.92887,0.92129
3,2,0,3,14,100000,9.97743,0.92438
3,2,1,3,14,100000,10.00615,0.91899
3,3,0,3,14,100000,19.51393,0.92065
4,1,0,3,14,100000,5.00064,0.92556
4,1,1,3,14,100000,5.00788,0.92371
4,1,2,3,14,100000,5.03622,0.91932
4,1,3,3,14,100000,5.44167,0.92106
4,2,0,3,14,100000,10.3447,0.92608
4,2,1,3,14,100000,10.3343,0.92248
4,2,2,3,14,100000,10.37993,0.92065
4,3,0,3,14,100000,19.5451,0.9255
4,3,1,3,14,100000,19.48973,0.92409
5,1,0,3,14,100000,6.52034,0.92751
5,1,1,3,14,100000,6.52437,0.91974
5,1,2,3,14,100000,6.52149,0.92095
5,1,3,3,14,100000,6.59764,0.92532
5,1,4,3,14,100000,7.31409,0.92235
5,2,0,3,14,100000,10.87547,0.92181
5,2,1,3,14,100000,10.8902,0.92517
5,2,2,3,14,100000,10.8818,0.92523
5,2,3,3,14,100000,10.97273,0.92157
5,3,0,3,14,100000,19.56872,0.92281
5,3,1,3,14,100000,19.53113,0.92078
5,3,2,3,14,100000,19.54568,0.92374
6,1,0,3,14,100000,8.24459,0.92218
6,1,1,3,14,100000,8.25913,0.92733
6,1,2,3,14,100000,8.25337,0.92252
6,1,3,3,14,100000,8.25295,0.923
6,1,4,3,14,100000,8.40581,0.92097
6,1,5,3,14,100000,9.50258,0.91514
6,2,0,3,14,100000,11.63108,0.91918
6,2,1,3,14,100000,11.62415,0.92311
6,2,2,3,14,100000,11.58584,0.92855
6,2,3,3,14,100000,11.66692,0.92017
6,2,4,3,14,100000,11.80064,0.92761
6,3,0,3,14,100000,19.64987,0.92229
6,3,1,3,14,100000,19.69146,0.92317
6,3,2,3,14,100000,19.64875,0.92013
6,3,3,3,14,100000,19.6704,0.92334
7,1,0,3,14,100000,10.18217,0.92493
7,1,1,3,14,100000,10.19454,0.91964
7,1,2,3,14,100000,10.18801,0.92634
7,1,3,3,14,100000,10.18301,0.91909
7,1,4,3,14,100000,10.19015,0.92198
7,1,5,3,14,100000,10.46223,0.92192
7,1,6,3,14,100000,11.88282,0.92081
7,2,0,3,14,100000,12.68486,0.91633
7,2,1,3,14,100000,12.66709,0.92318
7,2,2,3,14,100000,12.66115,0.92244
7,2,3,3,14,100000,12.64325,0.92252
7,2,4,3,14,100000,12.68075,0.92543
7,2,5,3,14,100000,12.94706,0.92111
7,3,0,3,14,100000,19.82029,0.92308
7,3,1,3,14,100000,19.81565,0.9295
7,3,2,3,14,100000,19.81644,0.91906
7,3,3,3,14,100000,19.85285,0.92204
7,3,4,3,14,100000,19.82436,0.92502
1,1,0,4,13,100000,1.30281,0.71523
2,1,0,4,13,100000,2.29015,0.71363
2,1,1,4,13,100000,2.36855,0.71521
2,2,0,4,13,100000,7.24918,0.71699
3,1,0,4,13,100000,3.43908,0.70919
3,1,1,4,13,100000,3.44334,0.71071
3,1,2,4,13,100000,3.74952,0.71044
3,2,0,4,13,100000,7.57218,0.71287
3,2,1,4,13,100000,7.61565,0.71306
3,3,0,4,13,100000,14.73188,0.71441
4,1,0,4,13,100000,4.77507,0.71621
4,1,1,4,13,100000,4.79076,0.71743
4,1,2,4,13,100000,4.85539,0.71166
4,1,3,4,13,100000,5.55061,0.71327
4,2,0,4,13,100000,8.0831,0.71235
4,2,1,4,13,100000,8.10491,0.71275
4,2,2,4,13,100000,8.16806,0.71119
4,3,0,4,13,100000,14.85014,0.71299
4,3,1,4,13,100000,14.82645,0.71682
4,4,0,4,13,100000,22.72752,0.71152
5,1,0,4,13,100000,6.36304,0.71672
5,1,1,4,13,100000,6.35337,0.71881
5,1,2,4,13,100000,6.35433,0.70917
5,1,3,4,13,100000,6.60255,0.71425
5,1,4,4,13,100000,7.73469,0.71139
5,2,0,4,13,100000,8.85643,0.7119
5,2,1,4,13,100000,8.86135,0.71354
5,2,2,4,13,100000,8.85739,0.71178
5,2,3,4,13,100000,9.10013,0.71536
5,3,0,4,13,100000,14.98488,0.71427
5,3,1,4,13,100000,15.01248,0.71427
5,3,2,4,13,100000,15.00769,0.7137
5,4,0,4,13,100000,22.73902,0.71236
5,4,1,4,13,100000,22.71293,0.7153
6,1,0,4,13,100000,8.14884,0.71403
6,1,1,4,13,100000,8.15363,0.71725
6,1,2,4,13,100000,8.15162,0.71543
6,1,3,4,13,100000,8.18963,0.71087
6,1,4,4,13,100000,8.63328,0.71875
6,1,5,4,13,100000,10.22646,0.70891
6,2,0,4,13,100000,9.89176,0.71327
6,2,1,4,13,100000,9.89595,0.71531
6,2,2,4,13,100000,9.91619,0.71601
6,2,3,4,13,100000,9.95774,0.71359
6,2,4,4,13,100000,10.38091,0.71186
6,3,0,4,13,100000,15.24315,0.71418
6,3,1,4,13,100000,15.21388,0.71463
6,3,2,4,13,100000,15.20465,0.71518
6,3,3,4,13,100000,15.24877,0.71588
6,4,0,4,13,100000,22.71937,0.71742
6,4,1,4,13,100000,22.77558,0.71497
6,4,2,4,13,100000,22.71736,0.71645
7,1,0,4,13,100000,10.10767,0.71608
7,1,1,4,13,100000,10.09105,0.71693
7,1,2,4,13,100000,10.10936,0.71408
7,1,3,4,13,100000,10.10696,0.71478
7,1,4,4,13,100000,10.19225,0.71556
7,1,5,4,13,100000,10.9235,0.71783
7,1,6,4,13,100000,12.92844,0.71453
7,2,0,4,13,100000,11.28691,0.71761
7,2,1,4,13,100000,11.27389,0.71532
7,2,2,4,13,100000,11.27431,0.71361
7,2,3,4,13,100000,11.27439,0.71095
7,2,4,4,13,100000,11.35764,0.71251
7,2,5,4,13,100000,12.06559,0.7107
7,3,0,4,13,100000,15.65465,0.71742
7,3,1,4,13,100000,15.67266,0.71472
7,3,2,4,13,100000,15.63731,0.71294
7,3,3,4,13,100000,15.65961,0.71528
7,3,4,4,13,100000,15.75567,0.7127
7,4,0,4,13,100000,22.77952,0.71631
7,4,1,4,13,100000,22.83104,0.71038
7,4,2,4,13,100000,22.8117,0.70887
7,4,3,4,13,100000,22.76065,0.71184
1,1,0,5,12,100000,1.12294,0.55269
2,1,0,5,12,100000,2.14923,0.55655
2,1,1,5,12,100000,2.2797,0.55421
2,2,0,5,12,100000,5.73239,0.55656
3,1,0,5,12,100000,3.33033,0.55234
3,1,1,5,12,100000,3.37582,0.56061
3,1,2,5,12,100000,3.8534,0.5545
3,2,0,5,12,100000,6.18027,0.55214
3,2,1,5,12,100000,6.20462,0.55659
3,3,0,5,12,100000,11.84733,0.55775
4,1,0,5,12,100000,4.72088,0.55835
4,1,1,5,12,100000,4.72647,0.55527
4,1,2,5,12,100000,4.91322,0.55815
4,1,3,5,12,100000,5.9361,0.55603
4,2,0,5,12,100000,6.83084,0.55639
4,2,1,5,12,100000,6.83804,0.55258
4,2,2,5,12,100000,6.99585,0.55398
4,3,0,5,12,100000,11.91635,0.55312
4,3,1,5,12,100000,11.90738,0.55384
4,4,0,5,12,100000,18.33421,0.55616
5,1,0,5,12,100000,6.32958,0.55509
5,1,1,5,12,100000,6.33082,0.55144
5,1,2,5,12,100000,6.37892,0.55275
5,1,3,5,12,100000,6.83013,0.55593
5,1,4,5,12,100000,8.43331,0.55279
5,2,0,5,12,100000,7.77973,0.54891
5,2,1,5,12,100000,7.80878,0.55657
5,2,2,5,12,100000,7.8041,0.55395
5,2,3,5,12,100000,8.28122,0.55449
5,3,0,5,12,100000,12.17023,0.55256
5,3,1,5,12,100000,12.18893,0.55242
5,3,2,5,12,100000,12.23786,0.55181
5,4,0,5,12,100000,18.37269,0.55103
5,4,1,5,12,100000,18.36759,0.55558
5,5,0,5,12,100000,25.04172,0.55315
6,1,0,5,12,100000,8.14077,0.55399
6,1,1,5,12,100000,8.14733,0.55352
6,1,2,5,12,100000,8.14832,0.55671
6,1,3,5,12,100000,8.29884,0.55583
6,1,4,5,12,100000,9.09874,0.55831
6,1,5,5,12,100000,11.21258,0.55608
6,2,0,5,12,100000,9.05165,0.55723
6,2,1,5,12,100000,9.05603,0.55372
6,2,2,5,12,100000,9.07638,0.55387
6,2,3,5,12,100000,9.19108,0.55441
6,2,4,5,12,100000,10.03123,0.55446
6,3,0,5,12,100000,12.6018,0.55417
6,3,1,5,12,100000,12.63775,0.5571
6,3,2,5,12,100000,12.63175,0.55417
6,3,3,5,12,100000,12.73082,0.55386
6,4,0,5,12,100000,18.41451,0.55725
6,4,1,5,12,100000,18.44268,0.55458
6,4,2,5,12,100000,18.43746,0.55186
6,5,0,5,12,100000,25.01211,0.55581
6,5,1,5,12,100000,25.02311,0.55329
7,1,0,5,12,100000,10.09357,0.55442
7,1,1,5,12,100000,10.10848,0.55638
7,1,2,5,12,100000,10.10699,0.55401
7,1,3,5,12,100000,10.15026,0.55269
7,1,4,5,12,100000,10.41583,0.55394
7,1,5,5,12,100000,11.69601,0.55641
7,1,6,5,12,100000,14.18487,0.555
7,2,0,5,12,100000,10.67157,0.55347
7,2,1,5,12,100000,10.64735,0.55743
7,2,2,5,12,100000,10.64907,0.55475
7,2,3,5,12,100000,10.68474,0.55284
7,2,4,5,12,100000,10.97642,0.55558
7,2,5,5,12,100000,12.22349,0.55398
7,3,0,5,12,100000,13.30948,0.55318
7,3,1,5,12,100000,13.35586,0.55591
7,3,2,5,12,100000,13.33277,0.55469
7,3,3,5,12,100000,13.34594,0.55361
7,3,4,5,12,100000,13.61596,0.552
7,4,0,5,12,100000,18.57236,0.5518
7,4,1,5,12,100000,18.56888,0.55442
7,4,2,5,12,100000,18.5719,0.55533
7,4,3,5,12,100000,18.56988,0.55487
7,5,0,5,12,100000,25.00523,0.55508
7,5,1,5,12,100000,25.01559,0.5564
7,5,2,5,12,100000,24.99895,0.55531
1,1,0,6,11,100000,1.04817,0.42972
2,1,0,6,11,100000,2.09845,0.4316
2,1,1,6,11,100000,2.29448,0.43023
2,2,0,6,11,100000,4.76057,0.43254
3,1,0,6,11,100000,3.299,0.4306
3,1,1,6,11,100000,3.38182,0.43425
3,1,2,6,11,100000,4.0893,0.42789
3,2,0,6,11,100000,5.29108,0.42893
3,2,1,6,11,100000,5.36504,0.4287
3,3,0,6,11,100000,9.75107,0.43128
4,1,0,6,11,100000,4.71077,0.43428
4,1,1,6,11,100000,4.72332,0.43424
4,1,2,6,11,100000,5.0557,0.42879
4,1,3,6,11,100000,6.47813,0.43039
4,2,0,6,11,100000,6.07653,0.43353
4,2,1,6,11,100000,6.07905,0.43122
4,2,2,6,11,100000,6.42026,0.4331
4,3,0,6,11,100000,9.93904,0.43224
4,3,1,6,11,100000,10.01169,0.43189
4,4,0,6,11,100000,15.3294,0.43115
5,1,0,6,11,100000,6.33833,0.4313
5,1,1,6,11,100000,6.34266,0.4331
5,1,2,6,11,100000,6.44844,0.43282
5,1,3,6,11,100000,7.22344,0.43108
5,1,4,6,11,100000,9.30903,0.43013
5,2,0,6,11,100000,7.19481,0.43238
5,2,1,6,11,100000,7.19546,0.4311
5,2,2,6,11,100000,7.3121,0.42961
5,2,3,6,11,100000,8.08585,0.43248
5,3,0,6,11,100000,10.33299,0.43147
5,3,1,6,11,100000,10.34233,0.42941
5,3,2,6,11,100000,10.44691,0.43407
5,4,0,6,11,100000,15.36216,0.43109
5,4,1,6,11,100000,15.38519,0.43147
5,5,0,6,11,100000,20.96996,0.43193
6,1,0,6,11,100000,8.1741,0.434
6,1,1,6,11,100000,8.164,0.43396
6,1,2,6,11,100000,8.19008,0.43243
6,1,3,6,11,100000,8.49276,0.43074
6,1,4,6,11,100000,9.80096,0.43078
6,1,5,6,11,100000,12.40952,0.43263
6,2,0,6,11,100000,8.64364,0.42698
6,2,1,6,11,100000,8.64955,0.43167
6,2,2,6,11,100000,8.67053,0.43065
6,2,3,6,11,100000,8.97258,0.43209
6,2,4,6,11,100000,10.27457,0.43078
6,3,0,6,11,100000,10.96711,0.4299
6,3,1,6,11,100000,10.97311,0.43116
6,3,2,6,11,100000,11.00175,0.43619
6,3,3,6,11,100000,11.33065,0.4306
6,4,0,6,11,100000,15.49026,0.42806
6,4,1,6,11,100000,15.46985,0.43063
6,4,2,6,11,100000,15.50277,0.43316
6,5,0,6,11,100000,21.02283,0.4325
6,5,1,6,11,100000,20.98995,0.42951
6,6,0,6,11,100000,26.68987,0.43201
7,1,0,6,11,100000,10.14847,0.43052
7,1,1,6,11,100000,10.15649,0.43068
7,1,2,6,11,100000,10.15218,0.43182
7,1,3,6,11,100000,10.2293,0.42968
7,1,4,6,11,100000,10.85338,0.4298
7,1,5,6,11,100000,12.7002,0.42829
7,1,6,6,11,100000,15.66238,0.42717
7,2,0,6,11,100000,10.40427,0.43016
7,2,1,6,11,100000,10.39777,0.4326
7,2,2,6,11,100000,10.39016,0.43454
7,2,3,6,11,100000,10.48759,0.43162
